Name,Student_ID,Gender,Department,Year,Previous_Backlogs,Student_Attendance_Percentage,Previous_Semester_Marks,Internal_Assessment_Marks,Assignment_Scores,Study_Hours_Per_Day,Class_Participation_Percentage,Completed_Assignments,Previous_Exam_Performance,Learning_Activities_Score,Socio_Academic_Factors_Score,Final_Performance_Percentage,Performance_Category
Nirajana,STU1158,Female,Computer Science,3rd Year,0,97.53,87.48,78.98,85.73,0.5,75.16,10,76.33,1,83.97,81.93,Good
Suba,STU1281,Female,Computer Science,3rd Year,0,73.17,,87.21,78.73,1.15,27.14,10,100,3,75.07,78.12,Good
Vijay,STU1139,Female,Civil,1st Year,1,86.09,61.74,59.07,60.46,2.77,40.86,10,60.23,2,74.76,66.68,Average
Priya,STU1221,Female,Information Technology,1st Year,2,60.2,60.9,47.85,46.92,1.98,49.99,8,64.94,4,74.7,62.56,Pass
Kavya,STU1008,Male,Mechanical,3rd Year,0,58.85,68.96,51.77,62.56,1.36,48.88,10,73.24,3,60.29,57.57,Pass
Divya,STU1170,Female,Mechanical,4th Year,0,92.03,73.55,82.2,73.26,4.13,68.64,10,,4,81.1,85.4,Excellent
Harini,STU1108,Male,Information Technology,4th Year,0,100,71.99,71.18,67.05,2.34,69.1,10,65.68,4,78.01,71.36,Average
Keerthana,STU1077,Male,ECE,1st Year,1,76.03,65.45,58.82,50.47,0.5,36.66,10,70.7,2,63.13,54.97,Pass
Nandhini,STU1198,Female,Mechanical,4th Year,0,87.99,67.04,59.61,66.83,4.93,68.24,10,60.44,3,62.29,64.64,Pass
Swetha,STU1075,Female,Information Technology,1st Year,0,80.2,75.15,68.22,84.83,2.52,71.09,10,66.62,4,81.18,75.95,Good
Aishwarya,STU1106,Male,Information Technology,1st Year,1,85.89,65.91,59.11,78.08,6.19,76.69,10,65.24,5,59.34,73.85,Average
Pavithra,STU1211,Male,Artificial Intelligence,4th Year,1,85.65,60.67,61.64,64.01,4.51,54.97,10,65.91,5,81.91,64.74,Pass
Dharani,STU1240,Female,Computer Science,1st Year,0,91.2,68.03,70.63,76.45,2.95,55.4,10,69.75,5,77.53,68.87,Average
Sangeetha,STU1184,Male,EEE,3rd Year,2,74.18,53.25,49.3,,6.15,62.91,9,46.19,5,54.88,58.06,Pass
Anitha,STU1173,Male,ECE,4th Year,1,94.17,71.28,84.83,87.45,6.25,55.79,10,79.59,7,89.38,83.01,Good
Deepika,STU1226,Female,Information Technology,3rd Year,0,63.58,73.54,63.47,64.25,0.65,50.35,10,65.2,3,62.62,57.43,Pass
Monisha,STU1095,Female,ECE,1st Year,0,80.16,67.43,66.11,60.17,6.52,86.84,10,81.16,7,82.19,69.51,Average
Sandhya,STU1242,Male,Civil,3rd Year,0,91.88,72.86,69.04,75.27,4.41,61.31,10,67.87,5,69.97,79.41,Good
Abinaya,STU1185,Female,ECE,3rd Year,0,100,80.82,72.27,100,1.15,51.19,10,69.93,3,76.9,75.27,Good
Shalini,STU1141,Male,EEE,1st Year,0,82.62,81.52,74.89,77.01,3.7,70.53,10,82.76,6,84.04,78.36,Good
Ramya,STU1127,Male,Mechanical,1st Year,0,80.18,78.23,67.77,69.42,2.17,68.66,10,81.34,3,86.72,62.71,Pass
Vaishnavi,STU1236,Male,Civil,3rd Year,1,83.47,54.6,72.08,71.56,3.59,61.18,10,79.33,6,73.32,68.33,Average
Lavanya,STU1062,Female,Information Technology,3rd Year,1,72.67,57.16,58.31,58.92,5.2,64.09,10,69.91,6,66.05,58.44,Pass
Dhivya,STU1024,Female,Mechanical,4th Year,0,98.1,90.6,,72.05,1.49,67.94,10,95.36,6,93.43,71.58,Average
Meena,STU1288,Male,Computer Science,4th Year,2,64.55,40.21,49.39,60.69,5.95,88.1,10,53.01,8,70.29,60.07,Pass
Mahalakshmi,STU1273,Female,ECE,1st Year,0,53.24,57.78,41.31,60.8,2.69,43.21,8,63.5,3,50.02,50.9,Pass
Sowmya,STU1039,Male,Mechanical,1st Year,1,79.76,76.36,77.65,77.77,5.67,68.09,10,82.77,7,79.25,84.99,Good
Sneha,STU1290,Female,Mechanical,2nd Year,1,74.48,65.34,74.42,71.43,3.44,76.72,10,62.77,5,68.26,71.05,Average
Srinithi,STU1287,Female,,1st Year,0,74.86,58.91,66.25,62.59,3.85,82.3,10,70.51,5,73.85,74.84,Average
Janani,STU1224,Female,Computer Science,2nd Year,0,78.55,73.17,65.35,63.69,7.11,62.57,10,61.14,7,84.36,64.36,Pass
Karthika,STU1126,Female,Computer Science,2nd Year,0,87.64,75.59,72.92,84.85,1.73,62.56,10,88.6,4,74.56,72.4,Average
Anjali,STU1231,Female,ECE,3rd Year,1,89.29,66.19,64.21,72.06,0.5,51.7,10,55.89,3,70.11,62.8,Pass
Gayathri,STU1007,Female,Civil,1st Year,2,68.04,64.54,52.59,49.65,5.31,58.52,9,51.08,5,77.16,53.81,Pass
Reshma,STU1091,Female,Computer Science,1st Year,0,98.52,73.25,87.86,91.26,4.56,77.75,10,74.26,6,73.92,78.75,Good
